,"Амортизация, млн. р","Амортизация, млн. р","Амортизация, млн. р","Амортизация, млн. р","Амортизация, млн. р","Амортизация, млн. р","Стоимость ОФ(осн. фонды), млн. р","Стоимость ОФ(осн. фонды), млн. р","Стоимость ОФ(осн. фонды), млн. р","Налог на имущество, млн. р"
,КЛК,УК,КЛК,УК,сумма ,сумма,сумма,сумма,ср. за год, 
,бухг.,бухг.,налог,налог,БУ(бух. учет),НУ(налог. учет).,начало года,конец года, , 
2023,2.4444444444444446,2.75,3.0,10.925,5.194444444444445,13.925,0.0,32.80555555555556,16.40277777777778,0.36086111111111113
2024,2.6666666666666665,3.0,2.4,2.1,5.666666666666666,4.5,32.80555555555556,27.138888888888893,29.972222222222225,0.6593888888888889
2025,2.6666666666666665,3.0,2.4,2.1,5.666666666666666,4.5,27.138888888888893,21.47222222222223,24.30555555555556,0.5347222222222223
2026,0.2222222222222222,3.0,0.19999999999999998,2.1,3.2222222222222223,2.3000000000000003,21.47222222222223,18.250000000000007,19.861111111111118,0.4369444444444446
2027,0.0,3.0,0.0,2.1,3.0,2.1,18.250000000000007,15.250000000000007,16.750000000000007,0.36850000000000016
2028,0.0,3.0,0.0,2.1,3.0,2.1,15.250000000000007,12.250000000000007,13.750000000000007,0.30250000000000016
2029,0.0,3.0,0.0,2.1,3.0,2.1,12.250000000000007,9.250000000000007,10.750000000000007,0.23650000000000015
2030,0.0,3.0,0.0,2.1,3.0,2.1,9.250000000000007,6.250000000000007,7.750000000000007,0.17050000000000015
2031,0.0,3.0,0.0,2.1,3.0,2.1,6.250000000000007,3.250000000000007,4.750000000000007,0.10450000000000015
2032,0.0,3.0,0.0,2.1,3.0,2.1,3.250000000000007,0.2500000000000071,1.750000000000007,0.03850000000000015
2033,0.0,0.25,0.0,0.17500000000000002,0.25,0.17500000000000002,0.2500000000000071,7.105427357601002e-15,0.1250000000000071,0.002750000000000156
