	12202								13001								13101								13202								22408								22702								24603								25004-1								30907								
	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	
01.01.2021	0.000	0.000	0.000	0.000	0.000	8.543	8.557	0.000	0.000	0.000	0.000	0.000	0.000	11.126	11.127	0.000	0.000	0.000	0.000	0.000	0.000	16.860	16.902	0.000	0.000	0.000	0.000	0.000	0.000	15.214	15.236	0.000	7447874.000	417.511	7559576.668	7302916.172	672.299	14.746	11.422	6.508	0.000	0.000	0.000	0.000	0.000	23.167	23.226	0.000	5973731.000	525.885	6093461.656	5855794.906	723.211	23.809	14.171	9.685	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7920934.000	403.585	8026759.737	7753328.394	679.985	7.791	7.287	4.938	
01.02.2021	0.000	0.000	0.000	0.000	0.000	8.542	8.555	0.000	0.000	0.000	0.000	0.000	0.000	11.074	11.075	0.000	0.000	0.000	0.000	0.000	0.000	16.792	16.836	0.000	0.000	0.000	0.000	0.000	0.000	15.167	15.189	0.000	7302949.000	408.578	7412237.192	7160790.345	658.181	14.700	11.435	6.605	0.000	0.000	0.000	0.000	0.000	23.029	23.088	0.000	6019239.000	528.851	6139749.831	5899862.870	728.616	23.763	14.035	9.565	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7924158.000	402.560	8029993.121	7757086.873	678.484	7.739	7.231	4.887	
01.03.2021	0.000	0.000	0.000	0.000	0.000	8.535	8.549	0.000	0.000	0.000	0.000	0.000	0.000	11.035	11.035	0.000	0.000	0.000	0.000	0.000	0.000	16.746	16.791	0.000	0.000	0.000	0.000	0.000	0.000	15.126	15.148	0.000	6764184.000	377.147	6865187.767	6632638.590	607.980	14.653	11.290	6.349	0.000	0.000	0.000	0.000	0.000	22.908	22.967	0.000	5450256.000	478.041	5559270.126	5341740.459	659.654	23.722	13.961	9.501	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	6930980.000	351.376	7023533.053	6785222.217	592.356	7.703	7.210	4.916	
01.04.2021	0.000	0.000	0.000	0.000	0.000	8.527	8.540	0.000	0.000	0.000	0.000	0.000	0.000	10.995	10.995	0.000	0.000	0.000	0.000	0.000	0.000	16.699	16.745	0.000	0.000	0.000	0.000	0.000	0.000	15.081	15.103	0.000	7360516.000	409.844	7470205.033	7217306.042	660.874	14.611	11.302	6.436	0.000	0.000	0.000	0.000	0.000	22.779	22.837	0.000	5995400.000	525.260	6115196.814	5875683.267	725.561	23.678	13.983	9.527	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7875240.000	398.184	7980377.852	7710169.353	671.469	7.649	7.139	4.813	
01.05.2021	0.000	0.000	0.000	0.000	0.000	8.515	8.528	0.000	0.000	0.000	0.000	0.000	0.000	10.948	10.948	0.000	0.000	0.000	0.000	0.000	0.000	16.655	16.701	0.000	0.000	0.000	0.000	0.000	0.000	15.059	15.081	0.000	2653246.332	148.730	2692974.810	2601544.115	239.494	14.712	11.497	6.722	0.000	0.000	0.000	0.000	0.000	22.659	22.717	0.000	5727630.000	501.482	5841968.220	5613034.924	693.111	23.638	14.078	9.620	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7480980.000	377.637	7580839.950	7324487.433	636.937	7.605	7.102	4.808	
01.06.2021	0.000	0.000	0.000	0.000	0.000	8.503	8.517	0.000	0.000	0.000	0.000	0.000	0.000	10.916	10.916	0.000	0.000	0.000	0.000	0.000	0.000	16.611	16.657	0.000	0.000	0.000	0.000	0.000	0.000	15.035	15.057	0.000	3934624.169	220.051	3993451.818	3858001.555	354.507	14.680	11.331	6.404	0.000	0.000	0.000	0.000	0.000	22.532	22.590	0.000	6340957.000	552.894	6467383.403	6213064.632	767.056	23.586	13.238	8.843	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7740886.000	389.815	7844203.937	7579450.750	657.655	7.558	7.051	4.760	
01.07.2021	0.000	0.000	0.000	0.000	0.000	8.482	8.496	0.000	0.000	0.000	0.000	0.000	0.000	10.904	10.905	0.000	0.000	0.000	0.000	0.000	0.000	16.569	16.615	0.000	0.000	0.000	0.000	0.000	0.000	14.997	15.018	0.000	6983730.000	388.495	7087571.153	6847721.342	626.571	14.564	11.313	6.528	0.000	0.000	0.000	0.000	0.000	22.420	22.477	0.000	5695830.000	497.361	5809302.455	5581138.795	689.091	23.552	14.040	9.596	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7380120.000	371.019	7478617.314	7226540.350	626.065	7.518	7.017	4.748	
01.08.2021	0.000	0.000	0.000	0.000	0.000	8.471	8.484	0.000	0.000	0.000	0.000	0.000	0.000	10.900	10.901	0.000	0.000	0.000	0.000	0.000	0.000	16.526	16.572	0.000	0.000	0.000	0.000	0.000	0.000	14.954	14.976	0.000	7117293.100	395.087	7222857.675	6978650.006	637.488	14.512	11.299	6.570	0.000	0.000	0.000	0.000	0.000	22.308	22.365	0.000	5814868.400	507.370	5930601.364	5697529.792	703.435	23.511	14.123	9.678	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	7659387.000	384.311	7761609.203	7500394.995	648.636	7.475	6.970	4.699	
