	12202								13101								13202								21702								22408-1								22702-1								25004								
	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	dry_gas	stab_cond	res_gas	gas_sep	nestab_cond	wbp	wbhp	wthp	
01.01.2021	0.000	0.000	0.000	0.000	0.000	8.543	8.557	0.000	0.000	0.000	0.000	0.000	0.000	16.860	16.902	0.000	0.000	0.000	0.000	0.000	0.000	15.214	15.236	0.000	7609601.000	448.635	7731270.516	7463177.414	715.953	16.209	14.608	7.124	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3581182.000	301.696	3653045.491	3505862.984	431.231	23.861	16.942	11.411	
01.02.2021	0.000	0.000	0.000	0.000	0.000	8.542	8.555	0.000	0.000	0.000	0.000	0.000	0.000	16.792	16.836	0.000	0.000	0.000	0.000	0.000	0.000	15.167	15.189	0.000	7482997.000	439.717	7602374.534	7339114.946	702.085	16.154	14.577	7.226	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	3316005.855	278.094	3382459.597	3245826.970	398.949	23.804	17.044	11.478	
01.03.2021	0.000	0.000	0.000	0.000	0.000	8.535	8.549	0.000	0.000	0.000	0.000	0.000	0.000	16.746	16.791	0.000	0.000	0.000	0.000	0.000	0.000	15.126	15.148	0.000	6870024.000	402.141	6979354.539	6738060.432	642.487	16.094	14.486	6.978	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.610	24.628	0.000	
01.04.2021	0.000	0.000	0.000	0.000	0.000	8.527	8.540	0.000	0.000	0.000	0.000	0.000	0.000	16.699	16.745	0.000	0.000	0.000	0.000	0.000	0.000	15.081	15.103	0.000	7522274.000	438.954	7641694.310	7377845.525	701.659	16.035	14.441	7.017	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.828	24.858	0.000	
01.05.2021	0.000	0.000	0.000	0.000	0.000	8.515	8.528	0.000	0.000	0.000	0.000	0.000	0.000	16.655	16.701	0.000	0.000	0.000	0.000	0.000	0.000	15.059	15.081	0.000	2719482.150	160.046	2762962.841	2667224.951	255.481	16.208	14.656	7.429	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.887	24.917	0.000	
01.06.2021	0.000	0.000	0.000	0.000	0.000	8.503	8.517	0.000	0.000	0.000	0.000	0.000	0.000	16.611	16.657	0.000	0.000	0.000	0.000	0.000	0.000	15.035	15.057	0.000	3947073.965	232.281	4010155.728	3871204.506	370.792	16.198	14.586	7.054	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.879	24.909	0.000	
01.07.2021	0.000	0.000	0.000	0.000	0.000	8.482	8.496	0.000	0.000	0.000	0.000	0.000	0.000	16.569	16.615	0.000	0.000	0.000	0.000	0.000	0.000	14.997	15.018	0.000	7144470.000	416.901	7257905.353	7007309.875	666.409	16.038	14.473	7.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.848	24.878	0.000	
01.08.2021	0.000	0.000	0.000	0.000	0.000	8.471	8.484	0.000	0.000	0.000	0.000	0.000	0.000	16.526	16.572	0.000	0.000	0.000	0.000	0.000	0.000	14.954	14.976	0.000	7332333.900	426.015	7448364.130	7191659.467	681.472	15.958	14.398	7.175	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.803	24.833	0.000	
01.09.2021	0.000	0.000	0.000	0.000	0.000	8.465	8.479	0.000	0.000	0.000	0.000	0.000	0.000	16.483	16.529	0.000	0.000	0.000	0.000	0.000	0.000	14.918	14.939	0.000	6468023.381	375.291	6570271.858	6343958.825	600.469	15.933	14.387	7.241	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.752	24.782	0.000	
01.10.2021	0.000	0.000	0.000	0.000	0.000	8.479	8.492	0.000	0.000	0.000	0.000	0.000	0.000	16.443	16.489	0.000	0.000	0.000	0.000	0.000	0.000	14.902	14.923	0.000	3658791.126	213.296	3716843.879	3588563.265	341.005	16.022	14.532	7.656	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.699	24.729	0.000	
01.11.2021	0.000	0.000	0.000	0.000	0.000	8.457	8.470	0.000	0.000	0.000	0.000	0.000	0.000	16.403	16.449	0.000	0.000	0.000	0.000	0.000	0.000	14.870	14.892	0.000	6714637.200	388.785	6820613.309	6585884.080	622.284	15.895	14.466	7.894	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.639	24.669	0.000	
01.12.2021	0.000	0.000	0.000	0.000	0.000	8.432	8.446	0.000	0.000	0.000	0.000	0.000	0.000	16.365	16.411	0.000	0.000	0.000	0.000	0.000	0.000	14.836	14.857	0.000	6359883.000	367.123	6460022.073	6237987.976	587.924	15.838	14.437	8.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.574	24.604	0.000	
01.01.2022	0.000	0.000	0.000	0.000	0.000	8.407	8.421	0.000	0.000	0.000	0.000	0.000	0.000	16.326	16.372	0.000	0.000	0.000	0.000	0.000	0.000	14.794	14.815	0.000	7441267.900	427.223	7557947.000	7298770.154	684.833	15.740	14.136	6.739	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.503	24.533	0.000	
01.02.2022	0.000	0.000	0.000	0.000	0.000	8.375	8.389	0.000	0.000	0.000	0.000	0.000	0.000	16.287	16.333	0.000	0.000	0.000	0.000	0.000	0.000	14.750	14.771	0.000	8483223.005	483.960	8615577.517	8320925.128	776.690	15.624	13.773	4.678	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.432	24.462	0.000	
01.03.2022	0.000	0.000	0.000	0.000	0.000	8.348	8.361	0.000	0.000	0.000	0.000	0.000	0.000	16.250	16.296	0.000	0.000	0.000	0.000	0.000	0.000	14.709	14.729	0.000	7772703.988	441.478	7893543.560	7624087.624	709.104	15.542	13.656	4.168	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.367	24.397	0.000	
01.04.2022	0.000	0.000	0.000	0.000	0.000	8.320	8.334	0.000	0.000	0.000	0.000	0.000	0.000	16.208	16.254	0.000	0.000	0.000	0.000	0.000	0.000	14.664	14.685	0.000	8113086.012	459.419	8238902.509	7958018.166	738.352	15.484	13.706	5.210	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.297	24.327	0.000	
01.05.2022	0.000	0.000	0.000	0.000	0.000	8.291	8.304	0.000	0.000	0.000	0.000	0.000	0.000	16.167	16.213	0.000	0.000	0.000	0.000	0.000	0.000	14.622	14.643	0.000	7779288.990	439.067	7899602.333	7630662.671	706.099	15.422	13.655	5.256	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.230	24.260	0.000	
01.06.2022	0.000	0.000	0.000	0.000	0.000	8.262	8.275	0.000	0.000	0.000	0.000	0.000	0.000	16.124	16.170	0.000	0.000	0.000	0.000	0.000	0.000	14.581	14.601	0.000	7934419.992	446.417	8056814.625	7782889.265	718.369	15.364	13.615	5.366	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.161	24.191	0.000	
01.07.2022	0.000	0.000	0.000	0.000	0.000	8.239	8.252	0.000	0.000	0.000	0.000	0.000	0.000	16.082	16.128	0.000	0.000	0.000	0.000	0.000	0.000	14.540	14.560	0.000	7305525.990	410.245	7418015.654	7166014.771	660.417	15.323	13.659	6.035	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.094	24.124	0.000	
01.08.2022	0.000	0.000	0.000	0.000	0.000	8.210	8.223	0.000	0.000	0.000	0.000	0.000	0.000	16.038	16.084	0.000	0.000	0.000	0.000	0.000	0.000	14.497	14.517	0.000	7671507.000	429.334	7789323.737	7525092.919	691.627	15.264	13.558	5.637	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	24.025	24.055	0.000	
01.09.2022	0.000	0.000	0.000	0.000	0.000	8.264	8.277	0.000	0.000	0.000	0.000	0.000	0.000	15.995	16.042	0.000	0.000	0.000	0.000	0.000	0.000	14.496	14.516	0.000	248534.999	14.137	252403.937	243782.618	22.700	15.572	13.698	4.380	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.960	23.989	0.000	
01.10.2022	0.000	0.000	0.000	0.000	0.000	8.267	8.280	0.000	0.000	0.000	0.000	0.000	0.000	15.957	16.003	0.000	0.000	0.000	0.000	0.000	0.000	14.493	14.513	0.000	7831287.999	439.410	7951821.704	7681781.213	707.485	15.313	13.523	4.953	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.899	23.929	0.000	
08.10.2022	0.000	0.000	0.000	0.000	0.000	8.256	8.269	0.000	0.000	0.000	0.000	0.000	0.000	15.941	15.988	0.000	0.000	0.000	0.000	0.000	0.000	14.488	14.509	0.000	1180933.607	66.426	1199149.862	1158384.249	106.898	15.363	13.631	5.513	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.885	23.915	0.000	
01.11.2022	0.000	0.000	0.000	0.000	0.000	8.174	8.187	0.000	0.000	0.000	0.000	0.000	0.000	15.901	15.949	0.000	0.000	0.000	0.000	0.000	0.000	14.463	14.484	0.000	4048915.991	227.804	4111371.217	3971588.271	366.580	15.363	13.629	5.503	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.839	23.868	0.000	
08.11.2022	0.000	0.000	0.000	0.000	0.000	8.144	8.157	0.000	0.000	0.000	0.000	0.000	0.000	15.898	15.945	0.000	0.000	0.000	0.000	0.000	0.000	14.456	14.476	0.000	1663251.659	93.281	1688841.637	1631500.560	150.204	15.305	13.573	5.468	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.826	23.855	0.000	
01.12.2022	0.000	0.000	0.000	0.000	0.000	8.042	8.055	0.000	0.000	0.000	0.000	0.000	0.000	15.878	15.924	0.000	0.000	0.000	0.000	0.000	0.000	14.419	14.439	0.000	5438557.365	304.000	5522002.320	5334780.712	489.844	15.243	13.515	5.438	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.782	23.812	0.000	
08.12.2022	0.000	0.000	0.000	0.000	0.000	8.012	8.025	0.000	0.000	0.000	0.000	0.000	0.000	15.871	15.917	0.000	0.000	0.000	0.000	0.000	0.000	14.407	14.427	0.000	1653974.378	92.367	1679332.388	1622417.565	148.863	15.226	13.498	5.423	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.769	23.798	0.000	
01.01.2023	0.000	0.000	0.000	0.000	0.000	7.921	7.934	0.000	0.000	0.000	0.000	0.000	0.000	15.844	15.890	0.000	0.000	0.000	0.000	0.000	0.000	14.365	14.385	0.000	5645203.186	314.375	5731550.552	5537533.954	506.957	15.174	13.449	5.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.722	23.752	0.000	
08.01.2023	0.000	0.000	0.000	0.000	0.000	7.896	7.908	0.000	0.000	0.000	0.000	0.000	0.000	15.836	15.882	0.000	0.000	0.000	0.000	0.000	0.000	14.353	14.373	0.000	1642659.939	91.406	1667769.015	1611332.830	147.425	15.159	13.437	5.415	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.709	23.739	0.000	
01.02.2023	0.000	0.000	0.000	0.000	0.000	7.819	7.831	0.000	0.000	0.000	0.000	0.000	0.000	15.806	15.852	0.000	0.000	0.000	0.000	0.000	0.000	14.311	14.330	0.000	5605320.204	311.157	5690812.580	5498438.239	502.108	15.111	13.393	5.403	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.661	23.691	0.000	
08.02.2023	0.000	0.000	0.000	0.000	0.000	7.796	7.809	0.000	0.000	0.000	0.000	0.000	0.000	15.797	15.843	0.000	0.000	0.000	0.000	0.000	0.000	14.298	14.318	0.000	1634262.799	90.656	1659172.629	1603102.238	146.312	15.096	13.378	5.386	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.647	23.677	0.000	
01.03.2023	0.000	0.000	0.000	0.000	0.000	7.734	7.747	0.000	0.000	0.000	0.000	0.000	0.000	15.769	15.815	0.000	0.000	0.000	0.000	0.000	0.000	14.262	14.281	0.000	4884431.741	270.387	4958740.158	4791312.366	436.579	15.055	13.340	5.371	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.605	23.635	0.000	
08.03.2023	0.000	0.000	0.000	0.000	0.000	7.714	7.726	0.000	0.000	0.000	0.000	0.000	0.000	15.759	15.805	0.000	0.000	0.000	0.000	0.000	0.000	14.250	14.269	0.000	1626436.715	89.972	1651164.564	1595430.871	145.295	15.041	13.326	5.364	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.591	23.621	0.000	
01.04.2023	0.000	0.000	0.000	0.000	0.000	7.648	7.660	0.000	0.000	0.000	0.000	0.000	0.000	15.725	15.771	0.000	0.000	0.000	0.000	0.000	0.000	14.208	14.227	0.000	5557598.865	306.718	5641912.886	5451666.129	495.569	14.994	13.281	5.334	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	23.543	23.573	0.000	
